				ch1äpìx	ch2äpìx													
FFFFFD10	13	FFFFFA86	FFFFFDE1	-88.553	-111.17	-103.67	deg	0	----	89	34.2							
FFFFFCFA	0000005C	FFFFFA84	FFFFFDEF	-83.221	-110.64	-101.34	deg	0	----	89	34.2							
FFFFFCF2	58	FFFFFABF	FFFFFD8D	-83.579	-114.99	-104.22	deg	0	----	89	34.2							
FFFFFD0F	21	FFFFFAB4	FFFFFDB2	-87.491	-113.51	-104.79	deg	0	----	89	34.2							
FFFFFD0C	0000001D	FFFFFA39	FFFFFE3F	-87.803	-106.88	-100.64	deg	0	----	89	34.2							
FFFFFCFD	0000004E	FFFFFAEB	FFFFFD76	-84.223	-116.54	-105.43	deg	0	----	89	34.2							
FFFFFD1B	0000002B	FFFFFAC2	FFFFFDCD	-86.679	-112.75	-104.01	deg	0	----	89	34.2							
FFFFFD09	33	FFFFFA15	FFFFFE61	-86.156	-105.31	-99.094	deg	0	----	89	34.2							
FFFFFCE7	49	FFFFFA5D	FFFFFDD4	-84.74	-111.07	-102.18	deg	0	----	89	34.2							
FFFFFD1D	27	FFFFFAAE	FFFFFDF6	-86.979	-110.97	-102.94	deg	0	----	89	34.2							
FFFFFCFF	42	FFFFFA1C	FFFFFE3E	-85.095	-106.61	-99.572	deg	0	----	89	34.2							
FFFFFCED	0000004A	FFFFFA85	FFFFFDB8	-84.628	-112.6	-103.1	deg	0	----	89	34.2							
FFFFFD10	23	FFFFFAF1	FFFFFD96	-87.335	-115.51	-105.89	deg	0	----	89	34.2							
FFFFFCF2	52	FFFFFA1F	FFFFFE3C	-84.014	-106.71	-99.19	deg	0	----	89	34.2							
FFFFFCEE	0000004C	FFFFFA91	FFFFFDC8	-84.477	-112.21	-102.73	deg	0	----	89	34.2							
FFFFFD1B	20	FFFFFB09	FFFFFD59	-87.527	-118.11	-107.82	deg	0	----	89	34.2							
FFFFFD1D	29	FFFFFA64	FFFFFE24	-86.824	-108.33	-101.31	deg	0	----	89	34.2							
FFFFFCE6	44	FFFFFAC2	FFFFFD7E	-85.105	-115.56	-105.04	deg	0	----	89	34.2							
FFFFFD1E	24	FFFFFB06	FFFFFD26	-87.207	-119.81	-109.03	deg	0	----	89	34.2							
FFFFFD28	0000002C	FFFFFA40	FFFFFE76	-86.541	-104.98	-99.039	deg	0	----	89	34.2							
FFFFFCE8	49	FFFFFA27	FFFFFE8B	-84.734	-103.99	-97.467	deg	0	----	008A	34.5							
FFFFFCD9	0000004B	FFFFFAC2	FFFFFD6E	-84.69	-116.11	-105.17	deg	0	----	008A	34.5							
FFFFFD2F	23	FFFFFA65	FFFFFE2E	-87.221	-107.99	-101.3	deg	0	----	008A	34.5							
FFFFFCE8	45	FFFFFA44	FFFFFE68	-85.021	-105.53	-98.531	deg	0	----	008A	34.5							
FFFFFCDC	51	FFFFFA98	FFFFFDC3	-84.247	-112.49	-102.67	deg	0	----	008A	34.5							
FFFFFD1A	29	FFFFFAC5	FFFFFD6D	-86.837	-116.2	-106.54	deg	0	----	008A	34.5							
FFFFFCF3	47	FFFFFA63	FFFFFE2F	-84.806	-107.93	-100.07	deg	0	----	008A	34.5							
FFFFFCE4	0000004C	FFFFFAA2	FFFFFDB2	-84.546	-113.23	-103.32	deg	0	----	008A	34.5							
FFFFFD0A	0000002E	FFFFFA99	FFFFFDC9	-86.527	-112.29	-103.67	deg	0	----	008A	34.5							
FFFFFD1B	29	FFFFFA5D	FFFFFE2F	-86.833	-107.86	-100.98	deg	0	----	008A	34.5							
FFFFFCF2	49	FFFFFAC2	FFFFFD8B	-84.667	-115.11	-104.66	deg	0	----	008A	34.5							
FFFFFD05	36	FFFFFA7F	FFFFFE04	-85.952	-109.82	-101.8	deg	0	----	008A	34.5							
FFFFFD08	29	FFFFFA4F	FFFFFE44	-86.912	-106.94	-100.3	deg	0	----	008A	34.5							
FFFFFD0A	39	FFFFFA9E	FFFFFDA3	-85.7	-113.7	-104.38	deg	0	----	008A	34.5							
FFFFFCF8	39	FFFFFA79	FFFFFE2D	-85.799	-108.26	-100.59	deg	0	----	008A	34.5							
FFFFFCFD	0000002E	FFFFFA60	FFFFFE2C	-86.586	-108	-100.8	deg	0	----	008A	34.5							
FFFFFD15	0000003B	FFFFFAAE	FFFFFD7C	-85.484	-115.3	-105.5	deg	0	----	008A	34.5							
FFFFFD07	41	FFFFFAB5	FFFFFD8E	-85.118	-114.79	-104.84	deg	0	----	008A	34.5							
FFFFFCFF	0000002E	FFFFFA6C	FFFFFE2F	-86.577	-108.03	-100.79	deg	0	----	008A	34.5							
FFFFFD18	34	FFFFFABA	FFFFFD8A	-86.002	-115.01	-105.43	deg	0	----	008A	34.5							
FFFFFCFF	40	FFFFFA96	FFFFFD85	-85.243	-114.61	-104.84	deg	0	----	89	34.2							
FFFFFCEA	46	FFFFFA6A	FFFFFE15	-84.936	-108.95	-100.73	deg	0	----	89	34.2							
FFFFFD1C	25	FFFFFAA9	FFFFFDB7	-87.138	-113.16	-104.57	deg	0	----	89	34.2							
FFFFFCEF	0000003B	FFFFFA94	FFFFFD62	-85.702	-115.76	-105.7	deg	0	----	89	34.2							
FFFFFCF4	0000004E	FFFFFA78	FFFFFDFB	-84.289	-110.05	-101.3	deg	0	----	89	34.2							
FFFFFD16	32	FFFFFA7B	FFFFFE6B	-86.166	-105.99	-99.337	deg	0	----	89	34.2							
FFFFFCF6	40	FFFFFAA3	FFFFFD51	-85.297	-116.58	-106.15	deg	0	----	89	34.2							
FFFFFCFF	0000003D	FFFFFAA6	FFFFFDB0	-85.465	-113.37	-103.94	deg	0	----	89	34.2							
FFFFFD0B	0000002D	FFFFFA58	FFFFFE89	-86.598	-104.51	-98.512	deg	0	----	89	34.2							
FFFFFD13	39	FFFFFA68	FFFFFE0C	-85.648	-109.24	-101.48	deg	0	----	89	34.2							
FFFFFCEB	37	FFFFFAB0	FFFFFDBD	-86.012	-113.06	-103.7	deg	0	----	89	34.2							
FFFFFD0A	26	FFFFFA46	FFFFFE7E	-87.13	-104.75	-98.893	deg	0	----	89	34.2							
FFFFFD1E	0000003C	FFFFFA69	FFFFFDFA	-85.352	-109.89	-101.92	deg	0	----	89	34.2							
FFFFFCFB	0000004F	FFFFFADA	FFFFFD3F	-84.165	-118.14	-106.66	deg	0	----	89	34.2							
FFFFFD0D	0000001F	FFFFFA39	FFFFFE85	-87.649	-104.37	-98.854	deg	0	----	89	34.2							
FFFFFD0F	48	FFFFFA7B	FFFFFDD2	-84.538	-111.54	-102.64	deg	0	----	89	34.2							
